,0
train_conv1d_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(11116.79678360055, 11353.53923523397, 99.16674907403458)"
val_conv1d_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(11152.956486796897, 11386.538277995991, 99.16944461692991)"
test_conv1d_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(11196.66778816676, 11405.568687998206, 99.17590994427718)"
train_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen12_unit64_activationrelu,"(3775.0593624585294, 4181.329346127708, 32.8138765823943)"
val_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen12_unit64_activationrelu,"(3788.5819376070203, 4181.833155776022, 32.80319709302365)"
test_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen12_unit64_activationrelu,"(3814.9700342465753, 4184.980516320704, 32.81007708471176)"
train_conv1d_lstm_model_lossMAE_dropout0.3_seqlen12_unit64_activationrelu,"(3617.8033217617367, 3988.035155880665, 31.905728983147945)"
val_conv1d_lstm_model_lossMAE_dropout0.3_seqlen12_unit64_activationrelu,"(3631.4853727436503, 3986.671322729866, 31.871682840093563)"
test_conv1d_lstm_model_lossMAE_dropout0.3_seqlen12_unit64_activationrelu,"(3646.236706988888, 3983.011386856739, 31.721781746386817)"
train_conv1d_lstm_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(4166.941829761523, 4460.779608473905, 35.49835475296408)"
val_conv1d_lstm_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(4181.562327819545, 4462.453628804273, 35.494900444116176)"
test_conv1d_lstm_model_lossMSE_dropout0.3_seqlen24_unit64_activationrelu,"(4199.518258987497, 4463.888876094156, 35.58338250160326)"
train_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(2993.4396996624396, 3436.125762394869, 26.460847427594373)"
val_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(2998.4997228056327, 3427.8302728729, 26.49944247628011)"
test_conv1d_lstm_model_lossMAPE_dropout0.3_seqlen24_unit64_activationrelu,"(3017.900327415989, 3422.8892222437985, 26.24390176041702)"
train_conv1d_lstm_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(5370.710918548445, 5645.14372379467, 45.99887455985768)"
val_conv1d_lstm_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(5386.593494432702, 5650.582819968561, 45.9885309410331)"
test_conv1d_lstm_model_lossMAE_dropout0.3_seqlen24_unit64_activationrelu,"(5410.565849130012, 5656.942331262294, 46.209942985657364)"
train_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(5138.1797196619045, 5655.130691825602, 44.109764241295174)"
val_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(5150.265087807015, 5660.66148176037, 44.09242277549624)"
test_lstm_model_lossMSE_dropout0.3_seqlen12_unit64_activationrelu,"(5169.321785370291, 5650.825470857809, 44.23116173213501)"
train_lstm_model_lossMAPE_dropout0.3_seqlen12_unit64_activationrelu,"(5148.440188305998, 5605.824483392524, 44.102473677547046)"
